season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,player,goal_involvements,gpm
2014/15,118748,65,60,3,33,0,0,0,3,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.05,Salah,0,0.0
2014/15,37572,120,129,216,2532,26,10,9,31,0,0,1,4,0,0,27,831,0.0,0.0,0.0,0.0,1.6744186046511629,Aguero,36,0.9241706161137441
2014/15,78830,50,60,191,2581,21,7,6,39,1,0,1,4,0,0,32,672,0.0,0.0,0.0,0.0,3.183333333333333,Kane,28,0.7322743122820612
2014/15,103955,85,83,158,3047,7,10,13,39,0,0,0,5,0,0,16,513,0.0,0.0,0.0,0.0,1.9036144578313252,Sterling,17,0.20676074827699378
2014/15,101668,50,46,120,2241,5,12,7,40,0,0,0,5,0,0,10,351,0.0,0.0,0.0,0.0,2.608695652173913,Vardy,17,0.20080321285140562
2015/16,78830,95,102,211,3363,25,3,14,33,1,0,0,5,0,0,33,748,0.0,0.0,0.0,0.0,2.0686274509803924,Kane,28,0.6690454950936664
2015/16,37572,130,133,184,2361,24,3,12,30,0,0,1,1,0,0,24,655,0.0,0.0,0.0,0.0,1.3834586466165413,Aguero,27,0.914866581956798
2015/16,103955,90,85,96,1920,6,3,7,30,0,0,0,1,0,0,3,324,0.0,0.0,0.0,0.0,1.1294117647058823,Sterling,9,0.28125
2015/16,101668,60,74,211,3133,24,8,14,34,0,0,1,5,1,0,30,831,0.0,0.0,0.0,0.0,2.8513513513513513,Vardy,32,0.6894350462815193
2016/17,78830,110,119,224,2523,29,7,14,19,0,0,1,3,0,0,33,920,1279.0,548.4,1530.0,336.0,1.8823529411764706,Kane,36,1.0344827586206897
2016/17,37572,130,127,175,2404,20,5,8,30,0,0,1,4,1,0,32,640,871.8,518.2,1853.0,323.9,1.3779527559055118,Aguero,25,0.7487520798668885
2016/17,101668,100,99,161,2801,13,8,7,57,0,0,0,2,1,0,24,555,629.8,450.4,955.0,202.5,1.6262626262626263,Vardy,21,0.41770796144234207
2016/17,103955,80,75,149,2509,7,14,9,27,0,0,0,7,0,0,11,468,527.0,688.3,1170.0,237.7,1.9866666666666666,Sterling,21,0.2510960542048625
2017/18,78830,125,131,217,3074,29,2,15,34,0,0,1,5,0,0,31,781,1214.4,502.1,2355.0,407.4,1.6564885496183206,Kane,31,0.8490566037735848
2017/18,101668,85,88,183,3248,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222.0,248.6,2.0795454545454546,Vardy,22,0.5541871921182266
2017/18,103955,80,91,229,2584,18,17,13,23,0,0,0,3,1,0,19,701,969.8,838.2,1488.0,329.7,2.5164835164835164,Sterling,35,0.6269349845201239
2017/18,37572,115,115,169,1960,21,6,13,12,0,0,0,2,0,0,22,740,966.4,570.8,1484.0,302.5,1.4695652173913043,Aguero,27,0.9642857142857143
2017/18,118748,90,106,303,2905,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109.0,454.4,2.858490566037736,Salah,44,0.9913941480206541
2018/19,103955,110,117,234,2770,17,15,17,19,0,0,0,3,0,0,25,743,1060.0,937.4,1572.0,357.1,2.0,Sterling,32,0.5523465703971119
2018/19,78830,125,126,160,2423,17,6,9,31,0,0,0,5,0,0,24,561,824.6,430.0,1359.0,261.3,1.2698412698412698,Kane,23,0.631448617416426
2018/19,37572,110,120,201,2457,21,11,17,15,0,0,0,4,0,0,26,740,946.6,523.7,1685.0,315.4,1.675,Aguero,32,0.7692307692307693
2018/19,101668,90,90,174,2726,18,5,11,36,0,0,1,3,1,0,31,598,822.0,419.9,1206.0,244.6,1.9333333333333333,Vardy,23,0.5942773294203962
2018/19,118748,130,132,259,3254,22,12,21,20,0,0,0,1,0,0,18,687,1186.8,973.9,2168.0,432.7,1.9621212121212122,Salah,34,0.6084818684695759
2019/20,37572,120,116,132,1449,16,6,5,18,0,0,1,1,0,0,14,509,641.2,256.4,1188.0,208.2,1.1379310344827587,Aguero,22,0.9937888198757764
2019/20,101668,90,97,210,3032,23,7,11,38,0,0,1,3,0,0,34,775,1026.0,418.4,1455.0,288.8,2.1649484536082473,Vardy,30,0.6827176781002638
2019/20,118748,125,125,233,2879,19,10,16,26,0,0,0,1,0,0,26,661,1061.2,834.8,2156.0,405.1,1.864,Salah,29,0.5939562348037513
2019/20,103955,120,120,204,2651,20,6,13,31,0,0,2,5,0,0,20,642,921.6,751.3,1829.0,350.2,1.7,Sterling,26,0.6789890607317993
2019/20,78830,110,110,158,2588,18,2,6,36,0,0,0,4,0,0,26,587,843.8,391.0,1071.0,230.6,1.4363636363636363,Kane,20,0.6259659969088099
